Source ID,URL,Register Record Count,Register Record IDs,Price Observation Count,Price Observation IDs,Total Uses,Published Count,Count Reconciliation,Detail URL
SRC-018,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/58-december%2Fjanuary-eighty-two,2,EPH-0051 | EPH-0059,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-018/
SRC-019,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/62-july-nineteen-eighty-three,0,,1,MB-PR-0005,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-019/
SRC-020,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/64-september-nineteen-eighty-three,1,EPH-0050,1,MB-PR-0006,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-020/
SRC-021,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/85-october-nineteen-eighty-three,1,EPH-0061,2,MB-PR-0007 | MB-PR-0008,3,3,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-021/
SRC-022,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/87-december%20%2F%20january-eighty-three,1,EPH-0060,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-022/
SRC-023,https://previouspage.co.uk/magazines/BMX%20Plus/issues/243-may-nineteen-eighty-seven,1,EPH-0057,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-023/
SRC-024,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,3,EPH-0021 | EPH-0052 | EPH-0058,4,GTD-PR-0018 | GTD-PR-0019 | GTD-PR-0020 | GTD-PR-0021,7,7,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-024/
SRC-025,https://previouspage.co.uk/magazines/BMX%20Weekly/issues/213-september-nineteen-eighty-two,1,EPH-0056,1,MB-PR-0004,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-025/
SRC-026,https://storage.googleapis.com/dioyjtkukhpqse/haro-bmx-catalog.html,1,EPH-0004,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-026/
SRC-027,https://thecabe.com/forum/threads/ashtabula-fork-identification-help.253603/,4,EPH-0006 | EPH-0031 | EPH-0032 | EPH-0033,0,,4,4,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-027/
SRC-028,https://torkerracing.com/blogs/news/torker-bmx-number-one-team-in-america,1,EPH-0049,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-028/
SRC-029,https://torkerracing.com/pages/the-fullerton-era-torker-bmx-history,3,EPH-0009 | EPH-0047 | EPH-0048,0,,3,3,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-029/
SRC-030,https://torkerracing.com/pages/torker-bmx-hall-of-fame,1,EPH-0049,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-030/
SRC-031,https://torkerracing.com/pages/torker-bmx-models,2,EPH-0047 | EPH-0048,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-031/
SRC-032,https://www.bloggingadeadhorse.com/hotfoot2.php,1,EPH-0042,3,MB-PR-0001 | MB-PR-0002 | MB-PR-0003,4,4,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-032/
SRC-033,https://www.bmx-catalogue.com/advanced-search.html,1,EPH-0029,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-033/
SRC-034,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1a.html,1,EPH-0024,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-034/
SRC-035,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1b.html,1,EPH-0025,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-035/
SRC-036,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1c.html,1,EPH-0026,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-036/
SRC-037,https://www.bmx-catalogue.com/haro/mid-school/1990/invert.html,1,EPH-0028,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-037/
SRC-038,https://www.bmx-catalogue.com/haro/mid-school/1990/master.html,1,EPH-0027,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-038/
SRC-039,https://www.bmx-catalogue.com/haro/mid-school/1990/model.html,2,EPH-0023 | EPH-0026,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-039/
SRC-040,https://www.facebook.com/groups/553888658024748/posts/27080185384968381/,2,EPH-0011 | EPH-0012,1,BM-PRICE-0004,3,3,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-040/
SRC-041,https://www.pinterest.com/pin/430304939389697452/,1,EPH-0017,2,BM-PRICE-0002 | GTD-PR-0001,3,3,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-041/
SRC-042,https://www.pinterest.com/pin/bmxmuseumcom-reference-1987-diacompe-182-aerial-brake-lever--731623901972849898/,1,EPH-0005,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-042/
SRC-043,https://www.pinterest.com/pin/bmxmuseumcom-reference-1996-gtdyno-the-bmx-freestyle-catalog--491877590560035755/,2,EPH-0001 | EPH-0018,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-043/
SRC-044,https://www.pinterest.com/pin/bmxmuseumcom-reference-1999-gtdyno-bmxfreestyle-part-2-in-2025--798192733998105769/,2,EPH-0003 | EPH-0019,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-044/
SRC-045,https://www.pinterest.com/pin/jmc-bmx-fliers-and-price-list--442478732119429034/,1,EPH-0011,1,BM-PRICE-0001,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-045/
SRC-046,https://www.previouspage.co.uk/issues/131-november-nineteen-ninety-one,2,EPH-0030 | EPH-0055,1,HAR-PR-0005,3,3,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-046/
SRC-047,https://www.radbmx.co.uk/forum/index.php?topic=181254.0,1,EPH-0007,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-047/
SRC-048,https://www.redlinevintagebmx.com/redline-history,2,EPH-0036 | EPH-0037,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-048/
SRC-049,https://www.redlinevintagebmx.com/the-rl-40-project,1,EPH-0038,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-049/
SRC-050,https://www.sebikes.com/blogs/news/classic-1,1,EPH-0044,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-050/
SRC-051,https://www.sebikes.com/blogs/news/elite-race-series,1,EPH-0043,0,,1,1,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-051/
SRC-052,https://www.sebikes.com/pages/perry-kramer,2,EPH-0043 | EPH-0044,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-052/
SRC-053,https://www.usabmx.com/news-and-media/6/2012-05-10/National-BMX-Hall-of-Fame-2012-Inductees-Announced?id=580,2,EPH-0010 | EPH-0037,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-053/
SRC-054,https://www.vintagemongoose.com/,2,EPH-0039 | EPH-0042,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-054/
SRC-055,https://www.vintagemongoose.com/info/catalogs.php,5,EPH-0034 | EPH-0035 | EPH-0039 | EPH-0040 | EPH-0041,0,,5,5,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-055/
SRC-056,https://www.vintagemongoose.com/pdfs/mongoose_cat76-77.pdf,2,EPH-0035 | EPH-0040,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-056/
SRC-057,https://www.vintagemongoose.com/pdfs/mongoose_cat79-80.pdf,2,EPH-0034 | EPH-0041,0,,2,2,MATCH,https://article134-tech.github.io/lititzbmx-public-knowledge-register/sources/SRC-057/
