Canonical Object ID,Title,Brand / Promoter,Date Text,Object Type,Source Occurrence Count,Member Record IDs,Duplicate Group,Canonical Decision,Confidence,Rights Code,Research Status,Object URL
OBJ-0019,BMX Plus! / GT Hide-A-Contest entry form,GT; BMX Plus!,Deadline 1987-09-28; drawing 1987-10-05,Contest entry form / promotion,2,EPH-0022 | EPH-0053,DUP-GT-HIDE-CONTEST,MERGE identity; preserve source occurrence,HIGH for dates,INDEX-ONLY,INCLUDED — bibliographic facts; prize details open,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0019
OBJ-0020,1990 Haro Group 1A,Haro,1990,Catalog model page,1,EPH-0024,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0020
OBJ-0021,1990 Haro Group 1B,Haro,1990,Catalog model page,1,EPH-0025,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0021
OBJ-0022,1990 Haro Group 1C,Haro,1990,Catalog model page,1,EPH-0026,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0022
OBJ-0023,1990 Haro Master / Team Master,Haro,1990,Catalog model page,1,EPH-0027,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0023
OBJ-0024,1990 Haro Invert,Haro,1990,Catalog model page,1,EPH-0028,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0024
OBJ-0025,1990 Haro Shredder,Haro,1990,Catalog model list,1,EPH-0029,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,OPEN — locate original catalog page,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0025
OBJ-0026,1991 Haro/Fusion catalog offer,Haro; Fusion,1991 catalog; ad in Nov 1991,Catalog mailer / advertisement,2,EPH-0030 | EPH-0055,DUP-HARO-1991-MAILER,MERGE identity; preserve source occurrence,HIGH for offer,INDEX-ONLY,INCLUDED — mailer object,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0026
OBJ-0027,Ashtabula crank length range,Ashtabula,circa 1977; interpretation,Catalog claim,1,EPH-0032,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0027
OBJ-0028,Ashtabula fork sizing and 6-3/4-inch steerer discussion,Ashtabula,circa 1977; interpretation,Catalog claim,1,EPH-0033,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0028
OBJ-0029,Mongoose 1979/80 catalog — Ashtabula one-piece cranks,Mongoose; Ashtabula,1979/80,Manufacturer/distributor catalog page,1,EPH-0034,,RETAIN — unique source record,HIGH,INDEX-ONLY,INCLUDED — visual page inspected,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0029
OBJ-0030,Mongoose 1976–77 accessories — Ashtabula/Cecor pedals,Mongoose; Ashtabula/Cecor,1976–77,Manufacturer/distributor catalog page,1,EPH-0035,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — visual page inspected,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0030
OBJ-0031,1978 Redline product catalog,Redline,1978,Product catalog,1,EPH-0036,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0031
OBJ-0032,RL 20 II Prostyler first dedicated freestyle kit,Redline,Summer 1985,Product announcement / kit,1,EPH-0038,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0032
OBJ-0033,Vintage Mongoose catalog and dealer-price archive,Mongoose,1970s onward,Archive collection,1,EPH-0039,,RETAIN — unique source record,HIGH for archive scope,INDEX-ONLY,INCLUDED — discovery hub,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0033
OBJ-0034,1976–77 Bicycle and Components Catalog,Mongoose,1976–77,Manufacturer catalog,1,EPH-0040,,RETAIN — unique source record,HIGH,INDEX-ONLY,INCLUDED — page inspected,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0034
OBJ-0035,1979/80 Bicycle and Components Catalog,Mongoose,1979/80,Manufacturer catalog,1,EPH-0041,,RETAIN — unique source record,HIGH,INDEX-ONLY,INCLUDED — page inspected,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0035
OBJ-0036,1985 Repco price list — Mongoose and parts,Mongoose,1985,Distributor price list,1,EPH-0042,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,INCLUDED WITH CURRENCY CAUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0036
OBJ-0037,PK Ripper late-1970s debut,SE Racing,Late 1970s,Product-history object,1,EPH-0043,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0037
OBJ-0038,Perry Kramer initials on PK Ripper,SE Racing,Since early 1979,Rider/model naming history,1,EPH-0044,,RETAIN — unique source record,HIGH for relationship,INDEX-ONLY,INCLUDED — relationship evidence,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0038
OBJ-0039,Silver Streak team advertisement and product naming,Diamond Back,1982,Team/product advertisement,1,EPH-0045,,RETAIN — unique source record,HIGH for period object,INDEX-ONLY,INCLUDED — campaign object,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0039
OBJ-0040,Free Diamond Back and Pro Star info pack and decal,Diamond Back,1982,Information-pack mailer,2,EPH-0046 | EPH-0054,DUP-DB-INFO-PACK,MERGE identity; preserve source occurrence,HIGH for offer,INDEX-ONLY,INCLUDED — mailer/flyer lead,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0040
OBJ-0041,Fullerton-era Torker model archive,Torker,1976–1984,Model archive,1,EPH-0048,,RETAIN — unique source record,HIGH for archive role,INDEX-ONLY,INCLUDED — discovery and verification hub,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0041
OBJ-0042,1979 National Number One team / 1980 world-pro chronology,Torker,1979–1980,Factory-team history,1,EPH-0049,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0042
OBJ-0043,Pontin's BMX Open Championships & Trade Exhibition,Pontin's; UK BMX organizers,1983-10-07 to 1983-10-09,Event flyer / trade-exhibition notice,1,EPH-0050,,RETAIN — unique source record,HIGH,INDEX-ONLY,INCLUDED — exact dates/venue,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0043
OBJ-0044,Lee Cooper BMX Indoor Grand Prix pre-registration,Lee Cooper,Winter 1982–83; exact event dates open,Event registration coupon,1,EPH-0051,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — exact dates pending,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0044
OBJ-0045,AFA Expert & Pro Contest — Austin,AFA,1987-05-02 to 1987-05-03,Event entry / pre-registration advertisement,1,EPH-0052,,RETAIN — unique source record,HIGH,INDEX-ONLY,INCLUDED,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0045
OBJ-0046,Send SAE for price list and free sticker,Retailer/dealer unresolved from indexed alignment,September 1982,Dealer price-list / sticker offer,1,EPH-0056,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,INCLUDED WITH LIMITS,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0046
OBJ-0047,"Ramp Jam — Moorhead, Minnesota",Local organizer; Rob Staiger contact,1987-05-02,Event notice / contact flyer,1,EPH-0057,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — venue open,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0047
OBJ-0048,DYNO Tour promotional stop listing,Dyno,1987,Tour promotion / route notice,1,EPH-0058,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,INCLUDED — stops pending,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0048
OBJ-0049,Diamond Back Silver Streak free draw at Lee Cooper event,Lee Cooper; Diamond Back,Winter 1982–83,Event prize promotion,1,EPH-0059,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0049
OBJ-0050,Langsett Cycles BMX product advertisement,Langsett Cycles,December 1983 issue,Dealer advertisement / price-list lead,1,EPH-0060,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — deeper transcription deferred,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0050
OBJ-0051,SR Cycles product and team promotion,SR Cycles; SR Jets,October 1983,Dealer/shop advertisement,1,EPH-0061,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,INCLUDED,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0051
