Price Observation ID,Source Object ID,Brand,Product / Model,Product Type,Issue / Date,Price Numeric,Currency,Displayed Price,Price Basis,Geography / Context,Source Type,Directness / Evidence,Confidence,Source URL,Rights Code,Observation Key,Duplicate Decision,Normalization Note,Accessed
GTD-PR-0019,GTD-OBJ-0005,GT,Pro Performer,Complete bicycle,Jul 1987,289.95,USD,$289.95,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,INDEX-ONLY,gt|pro performer|jul 1987|289.95|USD|https previouspage co uk magazines bmx 20plus issues 244 july nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30
GTD-PR-0020,GTD-OBJ-0005,GT,Pro World Tour,Complete bicycle,Jul 1987,344.95,USD,$344.95,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,INDEX-ONLY,gt|pro world tour|jul 1987|344.95|USD|https previouspage co uk magazines bmx 20plus issues 244 july nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30
GTD-PR-0021,GTD-OBJ-0005,GT,Mach 1,Complete bicycle,Jul 1987,214.95,USD,$214.95,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,INDEX-ONLY,gt|mach 1|jul 1987|214.95|USD|https previouspage co uk magazines bmx 20plus issues 244 july nineteen eighty seven,RETAIN — source-specific observation,Separate seller/issue observation.,2026-07-30
HAR-PR-0001,GTD-OBJ-0004,Haro,Shredder,Complete bicycle,Aug 1987,169,USD,$169,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,haro|shredder|aug 1987|169|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Pre-1990 benchmark; not catalog MSRP.,2026-07-30
HAR-PR-0002,GTD-OBJ-0004,Haro,Invert,Complete bicycle,Aug 1987,219,USD,$219,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,haro|invert|aug 1987|219|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Pre-1990 benchmark; not catalog MSRP.,2026-07-30
HAR-PR-0003,GTD-OBJ-0004,Haro,Master,Complete bicycle,Aug 1987,309,USD,$309,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,haro|master|aug 1987|309|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Pre-1990 benchmark; not catalog MSRP.,2026-07-30
HAR-PR-0004,GTD-OBJ-0004,Haro,Team Master,Complete bicycle,Aug 1987,529,USD,$529,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,haro|team master|aug 1987|529|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Pre-1990 benchmark; not catalog MSRP.,2026-07-30
HAR-PR-0005,HAR-OBJ-0008,Haro/Fusion,1991 catalog mailer,Catalog / information pack,Nov 1991,2,USD,$2,Catalog request fee,United States,Period catalog mailer,Direct indexed text,HIGH,https://www.previouspage.co.uk/issues/131-november-nineteen-ninety-one,INDEX-ONLY,haro fusion|1991 catalog mailer|nov 1991|2|USD|https www previouspage co uk issues 131 november nineteen ninety one,RETAIN — source-specific observation,"Catalog fee, not product price.",2026-07-30
MB-PR-0001,MB-OBJ-0007,Mongoose,Californian full chromoly frame,Frame,1985,76.5,AUD-LIKELY,$76.50,Distributor price-list figure,Australia / Repco context,Collector summary of period distributor list,Transcribed public summary,MEDIUM,https://www.bloggingadeadhorse.com/hotfoot2.php,INDEX-ONLY,mongoose|californian full chromoly frame|1985|76.5|AUD-LIKELY|https www bloggingadeadhorse com hotfoot2 php,RETAIN — source-specific observation,Currency likely AUD; verify scan legend.,2026-07-30
MB-PR-0002,MB-OBJ-0007,Mongoose,Pro Class rims,Rims,1985,15.5,AUD-LIKELY,$15.50,Distributor price-list figure,Australia / Repco context,Collector summary of period distributor list,Transcribed public summary,MEDIUM,https://www.bloggingadeadhorse.com/hotfoot2.php,INDEX-ONLY,mongoose|pro class rims|1985|15.5|AUD-LIKELY|https www bloggingadeadhorse com hotfoot2 php,RETAIN — source-specific observation,Currency likely AUD; unit/pair basis requires scan.,2026-07-30
MB-PR-0003,MB-OBJ-0007,Mongoose,Pad set,Pad set,1985,5.65,AUD-LIKELY,$5.65,Distributor price-list figure,Australia / Repco context,Collector summary of period distributor list,Transcribed public summary,MEDIUM,https://www.bloggingadeadhorse.com/hotfoot2.php,INDEX-ONLY,mongoose|pad set|1985|5.65|AUD-LIKELY|https www bloggingadeadhorse com hotfoot2 php,RETAIN — source-specific observation,Currency likely AUD; exact set contents unresolved.,2026-07-30
MB-PR-0004,MB-OBJ-0010,Diamond Back,Silver Streak,Complete bicycle,Sep 1982,119.37,GBP,£119.37,Advertised retailer price,United Kingdom,Period retailer advertisement,Indexed text/OCR,MEDIUM,https://previouspage.co.uk/magazines/BMX%20Weekly/issues/213-september-nineteen-eighty-two,INDEX-ONLY,diamond back|silver streak|sep 1982|119.37|GBP|https previouspage co uk magazines bmx 20weekly issues 213 september nineteen eighty two,RETAIN — source-specific observation,OCR alignment should be visually checked before elevation.,2026-07-30
MB-PR-0005,MB-OBJ-0010,Diamond Back,Silver Streak,Complete bicycle,Jul 1983,195,GBP,£195,Advertised retailer price,United Kingdom,Period retailer advertisement,Direct indexed text,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/62-july-nineteen-eighty-three,INDEX-ONLY,diamond back|silver streak|jul 1983|195|GBP|https previouspage co uk magazines bmx 20action 20bike issues 62 july nineteen eighty three,RETAIN — source-specific observation,Separate seller/issue observation.,2026-07-30
MB-PR-0006,MB-OBJ-0010,Diamond Back,Silver Streak,Complete bicycle,Sep 1983,195,GBP,£195,Advertised retailer price,United Kingdom,Period retailer advertisement,Direct indexed text,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/64-september-nineteen-eighty-three,INDEX-ONLY,diamond back|silver streak|sep 1983|195|GBP|https previouspage co uk magazines bmx 20action 20bike issues 64 september nineteen eighty three,RETAIN — source-specific observation,Separate seller/issue observation.,2026-07-30
MB-PR-0007,MB-OBJ-0010,Diamond Back,Silver Streak,Complete bicycle,Oct 1983,199,GBP,£199,Advertised retailer price plus postage,United Kingdom,Period retailer advertisement,Direct indexed text,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/85-october-nineteen-eighty-three,INDEX-ONLY,diamond back|silver streak|oct 1983|199|GBP|https previouspage co uk magazines bmx 20action 20bike issues 85 october nineteen eighty three,RETAIN — source-specific observation,Postage excluded from numeric price.,2026-07-30
MB-PR-0008,MB-OBJ-0010,Diamond Back,Harry Leary Turbo,Complete bicycle,Oct 1983,299,GBP,£299,Advertised retailer price,United Kingdom,Period retailer advertisement,Direct indexed text,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/85-october-nineteen-eighty-three,INDEX-ONLY,diamond back|harry leary turbo|oct 1983|299|GBP|https previouspage co uk magazines bmx 20action 20bike issues 85 october nineteen eighty three,RETAIN — source-specific observation,Useful Lititz BMX crosswalk; not MSRP.,2026-07-30
