id,source_object_id,source_record_id,canonical_object_id,brand,product_model,product_type,issue_date,observation_year,price_numeric,currency,displayed_price,price_basis,geography_context,source_type,directness_evidence,confidence,source_url,rights_code,observation_key,duplicate_decision,normalization_note,accessed,source_family,source_identity,access_host,access_route
GTD-PR-0007,GTD-OBJ-0004,,,Dyno,Pro Compe Team,Complete bicycle,Aug 1987,,419,USD,$419,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,dyno|pro compe team|aug 1987|419|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0008,GTD-OBJ-0004,,,Dyno,VFR BMX,Complete bicycle,Aug 1987,,129,USD,$129,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,dyno|vfr bmx|aug 1987|129|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0009,GTD-OBJ-0004,,,GT,Jr. Performer,Complete bicycle,Aug 1987,,119,USD,$119,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|jr performer|aug 1987|119|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0010,GTD-OBJ-0004,,,GT,Vertigo,Complete bicycle,Aug 1987,,164,USD,$164,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|vertigo|aug 1987|164|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0011,GTD-OBJ-0004,,,GT,Performer,Complete bicycle,Aug 1987,,199,USD,$199,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|performer|aug 1987|199|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0012,GTD-OBJ-0004,,,GT,Pro Freestyle Tour,Complete bicycle,Aug 1987,,299,USD,$299,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|pro freestyle tour|aug 1987|299|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Source abbreviates model as Pro F/S Tour.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0013,GTD-OBJ-0004,,,GT,Pro Freestyle Team,Complete bicycle,Aug 1987,,429,USD,$429,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|pro freestyle team|aug 1987|429|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Source abbreviates model as Pro F/S Team.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0014,GTD-OBJ-0004,,,GT,Interceptor,Complete bicycle,Aug 1987,,169,USD,$169,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|interceptor|aug 1987|169|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Do not compare directly with the unresolved 1992 $259 configuration.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0015,GTD-OBJ-0004,,,GT,Mach 1,Complete bicycle,Aug 1987,,209,USD,$209,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|mach 1|aug 1987|209|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0016,GTD-OBJ-0004,,,GT,Pro Series,Complete bicycle,Aug 1987,,329,USD,$329,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|pro series|aug 1987|329|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0017,GTD-OBJ-0004,,,GT,Pro Series Team,Complete bicycle,Aug 1987,,449,USD,$449,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,gt|pro series team|aug 1987|449|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0018,GTD-OBJ-0005,,,GT,Performer,Complete bicycle,Jul 1987,,199.95,USD,$199.95,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,INDEX-ONLY,gt|performer|jul 1987|199.95|USD|https previouspage co uk magazines bmx 20plus issues 244 july nineteen eighty seven,RETAIN — source-specific observation,Separate seller/issue observation; do not deduplicate against August.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0019,GTD-OBJ-0005,,,GT,Pro Performer,Complete bicycle,Jul 1987,,289.95,USD,$289.95,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,INDEX-ONLY,gt|pro performer|jul 1987|289.95|USD|https previouspage co uk magazines bmx 20plus issues 244 july nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0020,GTD-OBJ-0005,,,GT,Pro World Tour,Complete bicycle,Jul 1987,,344.95,USD,$344.95,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,INDEX-ONLY,gt|pro world tour|jul 1987|344.95|USD|https previouspage co uk magazines bmx 20plus issues 244 july nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0021,GTD-OBJ-0005,,,GT,Mach 1,Complete bicycle,Jul 1987,,214.95,USD,$214.95,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,INDEX-ONLY,gt|mach 1|jul 1987|214.95|USD|https previouspage co uk magazines bmx 20plus issues 244 july nineteen eighty seven,RETAIN — source-specific observation,Separate seller/issue observation.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
HAR-PR-0001,GTD-OBJ-0004,,,Haro,Shredder,Complete bicycle,Aug 1987,,169,USD,$169,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,haro|shredder|aug 1987|169|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Pre-1990 benchmark; not catalog MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
HAR-PR-0002,GTD-OBJ-0004,,,Haro,Invert,Complete bicycle,Aug 1987,,219,USD,$219,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,haro|invert|aug 1987|219|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Pre-1990 benchmark; not catalog MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
HAR-PR-0003,GTD-OBJ-0004,,,Haro,Master,Complete bicycle,Aug 1987,,309,USD,$309,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,haro|master|aug 1987|309|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Pre-1990 benchmark; not catalog MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
HAR-PR-0004,GTD-OBJ-0004,,,Haro,Team Master,Complete bicycle,Aug 1987,,529,USD,$529,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,haro|team master|aug 1987|529|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Pre-1990 benchmark; not catalog MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
HAR-PR-0005,HAR-OBJ-0008,,,Haro/Fusion,1991 catalog mailer,Catalog / information pack,Nov 1991,,2,USD,$2,Catalog request fee,United States,Period catalog mailer,Direct indexed text,HIGH,https://www.previouspage.co.uk/issues/131-november-nineteen-ninety-one,INDEX-ONLY,haro fusion|1991 catalog mailer|nov 1991|2|USD|https www previouspage co uk issues 131 november nineteen ninety one,RETAIN — source-specific observation,"Catalog fee, not product price.",2026-07-30,GO,GO,previouspage.co.uk,Publication accessed through PreviousPage
MB-PR-0001,MB-OBJ-0007,,,Mongoose,Californian full chromoly frame,Frame,1985,,76.5,AUD-LIKELY,$76.50,Distributor price-list figure,Australia / Repco context,Collector summary of period distributor list,Transcribed public summary,MEDIUM,https://www.bloggingadeadhorse.com/hotfoot2.php,INDEX-ONLY,mongoose|californian full chromoly frame|1985|76.5|AUD-LIKELY|https www bloggingadeadhorse com hotfoot2 php,RETAIN — source-specific observation,Currency likely AUD; verify scan legend.,2026-07-30,Blogging a Dead Horse,Blogging a Dead Horse,bloggingadeadhorse.com,Direct public route at bloggingadeadhorse.com
MB-PR-0002,MB-OBJ-0007,,,Mongoose,Pro Class rims,Rims,1985,,15.5,AUD-LIKELY,$15.50,Distributor price-list figure,Australia / Repco context,Collector summary of period distributor list,Transcribed public summary,MEDIUM,https://www.bloggingadeadhorse.com/hotfoot2.php,INDEX-ONLY,mongoose|pro class rims|1985|15.5|AUD-LIKELY|https www bloggingadeadhorse com hotfoot2 php,RETAIN — source-specific observation,Currency likely AUD; unit/pair basis requires scan.,2026-07-30,Blogging a Dead Horse,Blogging a Dead Horse,bloggingadeadhorse.com,Direct public route at bloggingadeadhorse.com
MB-PR-0003,MB-OBJ-0007,,,Mongoose,Pad set,Pad set,1985,,5.65,AUD-LIKELY,$5.65,Distributor price-list figure,Australia / Repco context,Collector summary of period distributor list,Transcribed public summary,MEDIUM,https://www.bloggingadeadhorse.com/hotfoot2.php,INDEX-ONLY,mongoose|pad set|1985|5.65|AUD-LIKELY|https www bloggingadeadhorse com hotfoot2 php,RETAIN — source-specific observation,Currency likely AUD; exact set contents unresolved.,2026-07-30,Blogging a Dead Horse,Blogging a Dead Horse,bloggingadeadhorse.com,Direct public route at bloggingadeadhorse.com
MB-PR-0004,MB-OBJ-0010,,,Diamond Back,Silver Streak,Complete bicycle,Sep 1982,,119.37,GBP,£119.37,Advertised retailer price,United Kingdom,Period retailer advertisement,Indexed text/OCR,MEDIUM,https://previouspage.co.uk/magazines/BMX%20Weekly/issues/213-september-nineteen-eighty-two,INDEX-ONLY,diamond back|silver streak|sep 1982|119.37|GBP|https previouspage co uk magazines bmx 20weekly issues 213 september nineteen eighty two,RETAIN — source-specific observation,OCR alignment should be visually checked before elevation.,2026-07-30,BMX Weekly,BMX Weekly,previouspage.co.uk,Publication accessed through PreviousPage
MB-PR-0005,MB-OBJ-0010,,,Diamond Back,Silver Streak,Complete bicycle,Jul 1983,,195,GBP,£195,Advertised retailer price,United Kingdom,Period retailer advertisement,Direct indexed text,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/62-july-nineteen-eighty-three,INDEX-ONLY,diamond back|silver streak|jul 1983|195|GBP|https previouspage co uk magazines bmx 20action 20bike issues 62 july nineteen eighty three,RETAIN — source-specific observation,Separate seller/issue observation.,2026-07-30,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
MB-PR-0006,MB-OBJ-0010,,,Diamond Back,Silver Streak,Complete bicycle,Sep 1983,,195,GBP,£195,Advertised retailer price,United Kingdom,Period retailer advertisement,Direct indexed text,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/64-september-nineteen-eighty-three,INDEX-ONLY,diamond back|silver streak|sep 1983|195|GBP|https previouspage co uk magazines bmx 20action 20bike issues 64 september nineteen eighty three,RETAIN — source-specific observation,Separate seller/issue observation.,2026-07-30,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
MB-PR-0007,MB-OBJ-0010,,,Diamond Back,Silver Streak,Complete bicycle,Oct 1983,,199,GBP,£199,Advertised retailer price plus postage,United Kingdom,Period retailer advertisement,Direct indexed text,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/85-october-nineteen-eighty-three,INDEX-ONLY,diamond back|silver streak|oct 1983|199|GBP|https previouspage co uk magazines bmx 20action 20bike issues 85 october nineteen eighty three,RETAIN — source-specific observation,Postage excluded from numeric price.,2026-07-30,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
MB-PR-0008,MB-OBJ-0010,,,Diamond Back,Harry Leary Turbo,Complete bicycle,Oct 1983,,299,GBP,£299,Advertised retailer price,United Kingdom,Period retailer advertisement,Direct indexed text,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/85-october-nineteen-eighty-three,INDEX-ONLY,diamond back|harry leary turbo|oct 1983|299|GBP|https previouspage co uk magazines bmx 20action 20bike issues 85 october nineteen eighty three,RETAIN — source-specific observation,Useful Lititz BMX crosswalk; not MSRP.,2026-07-30,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
ABMX-PR-0001,V11-ABMX-0001,,,Suntour,"Chain wheel, 40–45T, assorted colors",Drivetrain component,April/May 1982,,7.3,GBP,£7.30,Advertised mail-order price,United Kingdom,Period retailer advertisement,Direct indexed text; clear price pairing,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,INDEX-ONLY,suntour chain wheel 40 45t assorted colors april may 1982 7 3 gbp https previouspage co uk magazines bmx 20action 20bike issues 13 april 2fmay eighty two,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-31,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
ABMX-PR-0002,V11-ABMX-0001,,,Suntour,"Rear sprocket, 15–17T",Drivetrain component,April/May 1982,,4.25,GBP,£4.25,Advertised mail-order price,United Kingdom,Period retailer advertisement,Direct indexed text; clear price pairing,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,INDEX-ONLY,suntour rear sprocket 15 17t april may 1982 4 25 gbp https previouspage co uk magazines bmx 20action 20bike issues 13 april 2fmay eighty two,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-31,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
ABMX-PR-0003,V11-ABMX-0001,,,Araya / Suzue,Front wheel with Suzue hub,Wheel,April/May 1982,,18.95,GBP,£18.95,Advertised mail-order price,United Kingdom,Period retailer advertisement,Direct indexed text; clear front-wheel pairing,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,INDEX-ONLY,araya suzue front wheel with suzue hub april may 1982 18 95 gbp https previouspage co uk magazines bmx 20action 20bike issues 13 april 2fmay eighty two,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-31,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
ABMX-PR-0004,V11-ABMX-0001,,,Araya / Suzue,Rear wheel with Suzue hub,Wheel,April/May 1982,,19.95,GBP,£19.95,Advertised mail-order price,United Kingdom,Period retailer advertisement,Direct indexed text; clear rear-wheel pairing,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,INDEX-ONLY,araya suzue rear wheel with suzue hub april may 1982 19 95 gbp https previouspage co uk magazines bmx 20action 20bike issues 13 april 2fmay eighty two,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-31,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
ABMX-PR-0005,V11-ABMX-0003,,,Kuwahara,Kuwahara frame set,Frame and fork set,April/May 1982,,109.95,GBP,£109.95,Advertised mail-order price,United Kingdom,Period retailer advertisement,Direct indexed text; clear price pairing,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,INDEX-ONLY,kuwahara kuwahara frame set april may 1982 109 95 gbp https previouspage co uk magazines bmx 20action 20bike issues 13 april 2fmay eighty two,RETAIN — source-specific observation,Postage and exact model specification should be checked against the page image.,2026-07-31,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
ABMX-PR-0006,V11-ABMX-0005,,,Hotshot BMX,Hotshot BMX complete race bike,Complete bicycle,April/May 1982,,169.95,GBP,£169.95,Advertised special price,United Kingdom,Period retailer advertisement,Direct indexed text; clear complete-bike price,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,INDEX-ONLY,hotshot bmx hotshot bmx complete race bike april may 1982 169 95 gbp https previouspage co uk magazines bmx 20action 20bike issues 13 april 2fmay eighty two,RETAIN — source-specific observation,"Retailer special, not manufacturer MSRP.",2026-07-31,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
ABMX-PR-0007,V11-ABMX-0010,,,SJK Products,SJK Hurricane complete bike,Complete bicycle,April/May 1982,,272.84,GBP,£272.84,Advertised retail price,United Kingdom,Period product advertisement,Direct indexed text; clear price pairing,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,INDEX-ONLY,sjk products sjk hurricane complete bike april may 1982 272 84 gbp https previouspage co uk magazines bmx 20action 20bike issues 13 april 2fmay eighty two,RETAIN — source-specific observation,Frame-kit price was stated as price on application and is not inferred.,2026-07-31,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
ABMX-PR-0008,V11-ABMX-0011,,,CAMM,Power Stem,Stem,April/May 1982,,10.07,GBP,£10.07,Recommended retail price,United Kingdom,Period dealer advertisement,Direct indexed text; stated RRP,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,INDEX-ONLY,camm power stem april may 1982 10 07 gbp https previouspage co uk magazines bmx 20action 20bike issues 13 april 2fmay eighty two,RETAIN — source-specific observation,RRP transcription should be visually checked before exact quotation.,2026-07-31,BMX Action Bike,BMX Action Bike,previouspage.co.uk,Publication accessed through PreviousPage
